日期,价格,单位
2018-01-04,None,2支装
2018-01-05,None,2支装
2018-01-06,None,2支装
2018-01-06,None,2支装
2018-01-06,None,元/2支装
2018-01-06,None,元/2支装
2018-01-06,None,元/2支装
2018-01-06,None,元/2支装
2018-01-06,None,元/2支装
2018-01-06,None,元/2支装
2018-01-06,None,元/2支装
2018-01-06,None,元/2支装
2018-01-06,None,元/2支装
2018-01-06,None,元/2支装
2018-01-06,None,元/2支装
2018-01-07,None,元/2支装
2018-01-07,None,元/2支装
2018-01-07,None,元/2支装
2018-01-07,None,元/2支装
2018-01-07,None,元/2支装
2018-01-07,None,元/2支装
2018-01-07,None,元/2支装
2018-01-07,None,元/2支装
2018-01-07,None,元/2支装
2018-01-07,None,元/2支装
2018-01-07,15.80,元/2支装
